query,intent,response
I forgot my password.,account_help,Click 'Forgot Password' on the login page to reset your password.
Can I use a discount code on this item?,product_info,"Yes, discount codes apply unless the item is on clearance."
Why was my refund rejected?,refund_request,Refunds are only approved for items returned in original condition or if damaged on delivery.
What payment methods do you accept?,ecommerce_support,"We accept Visa, Mastercard, PayPal, and GCash."
Hello,general_chat,Hi there! How can I help you today?
Can you track my order?,order_status,Sure! Please check your email for the tracking link we sent.
The order status hasn’t updated.,order_status,Sometimes tracking updates take up to 24 hours. Please check again soon.
What are your shipping options?,ecommerce_support,"We offer standard, express, and same-day delivery in select areas."
Do you have red shirts?,product_info,"Yes, red shirts are in stock right now."
How do I delete my account?,account_help,We’re sorry to see you go! Please contact our support team to permanently delete your account.
Can I schedule a delivery?,ecommerce_support,"Yes, scheduled delivery options are available during checkout."
My package arrived damaged.,order_status,We apologize for the damage. Please attach a photo when submitting a return request.
Can you recommend a gift for someone?,ecommerce_support,"Sure! You can browse our curated gift collections by age, occasion, or interest."
Can I return a sale item?,refund_request,Sale or clearance items are not eligible for refunds unless damaged or defective.
Can you tell me more about this product?,product_info,This item is made from high-quality materials and includes a 1-year warranty.
Thanks,general_chat,Anytime! Let me know if you need anything else.
Is this authentic?,product_info,"Yes, all our products are 100% authentic and verified by our suppliers."
My order is late.,order_status,I apologize for the inconvenience. Let me check the status for you.
How can I add a new address?,account_help,You can add or edit your delivery address from the Account > Addresses section.
How long does shipping take?,ecommerce_support,Standard shipping usually takes 3-5 business days.
Do you have shoes in size 9?,product_info,"Yes, size 9 shoes are in stock in most styles."
How long does it take to process a refund?,ecommerce_support,Refunds are usually processed within 3-5 business days.
Can I delete my account?,ecommerce_support,"Yes, please contact customer support to permanently delete your account."
What courier do you use?,order_status,We usually ship orders via J&T Express or LBC depending on your location.
My order was cancelled automatically.,order_status,This may happen if payment wasn’t confirmed in time or the item went out of stock.
Is size medium available?,product_info,"Yes, size medium is available for most items."
Do you deliver internationally?,ecommerce_support,"Yes, we ship worldwide! Shipping fees and times may vary by country."
Can I return a damaged item?,ecommerce_support,Absolutely! Please contact support with photos of the damaged item for a free replacement.
Can I cancel my order?,order_status,"Yes, you can cancel your order within 24 hours of placing it."
How do I reset my password?,ecommerce_support,Click 'Forgot Password' on the login page to reset it via email.
Are you a real person?,general_chat,I’m an AI assistant trained to help you quickly with your questions.
